Date	Vehicle No	Trip No	Package No	Is Duplicate	Created At
24/12/2025	TN39DA7698	1	76	No	2025-12-27T08:41:13.837Z
24/12/2025	TN39DA7698	1	73	No	2025-12-27T08:41:14.462Z
24/12/2025	TN39DA7698	1	791	No	2025-12-27T08:41:15.076Z
24/12/2025	TN39DA7698	1	75	No	2025-12-27T08:41:15.406Z
24/12/2025	TN39DA7698	1	783	No	2025-12-27T08:41:15.998Z
24/12/2025	TN39DA7698	1	74	No	2025-12-27T08:41:16.326Z
24/12/2025	TN39DA7698	1	710	No	2025-12-27T08:41:16.625Z
24/12/2025	TN39DA7698	1	40	No	2025-12-27T08:41:17.225Z
24/12/2025	TN39DA7698	1	687	No	2025-12-27T08:41:17.873Z
24/12/2025	TN39DA7698	1	46	No	2025-12-27T08:41:18.291Z
24/12/2025	TN39DA7698	1	706	No	2025-12-27T08:41:18.614Z
24/12/2025	TN39DA7698	1	56	No	2025-12-27T08:41:19.186Z
24/12/2025	TN39DA7698	1	707	No	2025-12-27T08:41:19.685Z
24/12/2025	TN39DA7698	1	29	No	2025-12-27T08:41:19.992Z
24/12/2025	TN39DA7698	1	690	No	2025-12-27T08:41:20.303Z
24/12/2025	TN39DA7698	1	41	No	2025-12-27T08:41:20.913Z
24/12/2025	TN39DA7698	1	68	No	2025-12-27T08:41:21.527Z
24/12/2025	TN39DA7698	1	70	No	2025-12-27T08:41:21.842Z
24/12/2025	TN39DA7698	1	708	No	2025-12-27T08:41:22.450Z
24/12/2025	TN39DA7698	1	45	No	2025-12-27T08:41:22.782Z
24/12/2025	TN39DA7698	1	785	No	2025-12-27T08:41:23.092Z
24/12/2025	TN39DA7698	1	44	No	2025-12-27T08:41:23.677Z
24/12/2025	TN39DA7698	1	711	No	2025-12-27T08:41:24.199Z
24/12/2025	TN39DA7698	1	43	No	2025-12-27T08:41:24.511Z
24/12/2025	TN39DA7698	1	704	No	2025-12-27T08:41:24.809Z
24/12/2025	TN39DA7698	1	55	No	2025-12-27T08:41:25.214Z
24/12/2025	TN39DA7698	1	36	No	2025-12-27T08:41:25.828Z
24/12/2025	TN39DA7698	1	709	No	2025-12-27T08:41:26.443Z
25/12/2025	TN59AT0877	1	949	No	2025-12-27T08:49:38.272Z
25/12/2025	TN59AT0877	1	1061	No	2025-12-27T08:49:38.911Z
25/12/2025	TN59AT0877	1	898	No	2025-12-27T08:49:39.215Z
25/12/2025	TN59AT0877	1	913	No	2025-12-27T08:49:39.737Z
25/12/2025	TN59AT0877	1	934	No	2025-12-27T08:49:40.065Z
25/12/2025	TN59AT0877	1	1007	No	2025-12-27T08:49:40.421Z
25/12/2025	TN59AT0877	1	1054	No	2025-12-27T08:49:40.729Z
25/12/2025	TN59AT0877	1	1077	No	2025-12-27T08:49:41.033Z
25/12/2025	TN59AT0877	1	922	No	2025-12-27T08:49:41.339Z
25/12/2025	TN59AT0877	1	940	No	2025-12-27T08:49:41.706Z
25/12/2025	TN59AT0877	1	1093	No	2025-12-27T08:49:42.029Z
25/12/2025	TN59AT0877	1	1059	No	2025-12-27T08:49:42.329Z
25/12/2025	TN59AT0877	1	924	No	2025-12-27T08:49:42.637Z
25/12/2025	TN59AT0877	1	901	No	2025-12-27T08:49:43.185Z
25/12/2025	TN59AT0877	1	887	No	2025-12-27T08:49:43.635Z
25/12/2025	TN59AT0877	1	1049	No	2025-12-27T08:49:43.943Z
25/12/2025	TN59AT0877	1	1051	No	2025-12-27T08:49:44.240Z
25/12/2025	TN59AT0877	1	169	No	2025-12-27T08:49:44.721Z
25/12/2025	TN59AT0877	1	176	No	2025-12-27T08:49:45.032Z
25/12/2025	TN59AT0877	1	942	No	2025-12-27T08:49:45.338Z
25/12/2025	TN59AT0877	1	947	No	2025-12-27T08:49:45.634Z
25/12/2025	TN59AT0877	1	1052	No	2025-12-27T08:49:45.934Z
25/12/2025	TN59AT0877	1	536	No	2025-12-27T08:49:46.232Z
25/12/2025	TN59AT0877	1	186	No	2025-12-27T08:49:46.528Z
25/12/2025	TN59AT0877	1	100	No	2025-12-27T08:49:46.838Z
25/12/2025	TN59AT0877	1	1058	No	2025-12-27T08:49:47.150Z
25/12/2025	TN59AT0877	1	941	No	2025-12-27T08:49:47.462Z
25/12/2025	TN59AT0877	1	506	No	2025-12-27T08:49:47.761Z
25/12/2025	TN59AT0877	1	925	No	2025-12-27T08:49:48.071Z
25/12/2025	TN59AT0877	1	926	No	2025-12-27T08:49:48.408Z
25/12/2025	TN59AT0877	1	156	No	2025-12-27T08:49:48.710Z
25/12/2025	TN59AT0877	1	499	No	2025-12-27T08:49:49.009Z
25/12/2025	TN59AT0877	1	929	No	2025-12-27T08:49:49.310Z
25/12/2025	TN59AT0877	1	1008	No	2025-12-27T08:49:49.623Z
25/12/2025	TN59AT0877	1	1004	No	2025-12-27T08:49:50.229Z
25/12/2025	TN59AT0877	1	945	No	2025-12-27T08:49:50.662Z
25/12/2025	TN59AT0877	1	937	No	2025-12-27T08:49:50.968Z
25/12/2025	TN59AT0877	1	1094	No	2025-12-27T08:49:51.264Z
25/12/2025	TN59AT0877	1	504	No	2025-12-27T08:49:51.582Z
25/12/2025	TN59AT0877	1	165	No	2025-12-27T08:49:51.959Z
25/12/2025	TN59AT0877	1	928	No	2025-12-27T08:49:52.257Z
25/12/2025	TN59AT0877	1	1060	No	2025-12-27T08:49:52.571Z
25/12/2025	TN59AT0877	1	175	No	2025-12-27T08:49:52.875Z
25/12/2025	TN59AT0877	1	164	No	2025-12-27T08:49:53.174Z
25/12/2025	TN59AT0877	1	930	No	2025-12-27T08:49:53.473Z
25/12/2025	TN59AT0877	1	948	No	2025-12-27T08:49:53.772Z
25/12/2025	TN59AT0877	1	502	No	2025-12-27T08:49:54.072Z
25/12/2025	TN59AT0877	1	902	No	2025-12-27T08:49:54.378Z
25/12/2025	TN59AT0877	1	932	No	2025-12-27T08:49:54.677Z
25/12/2025	TN59AT0877	1	1095	No	2025-12-27T08:49:54.975Z
25/12/2025	TN59AT0877	1	97	No	2025-12-27T08:49:55.280Z
25/12/2025	TN59AT0877	1	525	No	2025-12-27T08:49:55.588Z
25/12/2025	TN59AT0877	1	938	No	2025-12-27T08:49:55.886Z
25/12/2025	TN59AT0877	1	1062	No	2025-12-27T08:49:56.198Z
25/12/2025	TN59AT0877	1	899	No	2025-12-27T08:49:56.497Z
25/12/2025	TN59AT0877	1	96	No	2025-12-27T08:49:56.808Z
25/12/2025	TN59AT0877	1	933	No	2025-12-27T08:49:57.113Z
25/12/2025	TN59AT0877	1	1056	No	2025-12-27T08:49:57.626Z
25/12/2025	TN59AT0877	1	1053	No	2025-12-27T08:49:57.936Z
